year,total_real_consumption,pop,total_real_consumption_per_capita,filtered_growth_rate,unfiltered_log_consumption_level,unfiltered_growth_rate
1929,8821.564687020333,121878,72.38028755821668,,,
1930,8535.463284990466,123188,69.288106674274,-0.043660720418297196,,
1931,8363.969341476877,124149,67.3704125001158,-0.028067332746553337,9.203875493227809,
1932,7773.387668250614,124949,62.21248403949303,-0.07965025022250569,9.012417494172922,-0.19145799905488659
1933,7579.506555096121,125690,60.30317889327807,-0.03117086732799903,9.00520859875774,-0.007208895415182326
1934,8041.689141281948,126485,63.57820406595207,0.05288588793591763,9.063267340437923,0.05805874168018299
1935,8391.100282251022,127362,65.88386082388013,0.03562279923200765,9.04203288693682,-0.02123445350110309
1936,9075.28328543634,128181,70.80053428695626,0.07197303962080338,9.218761381547504,0.17672849461068374
1937,9420.813712275181,128961,73.05164904331683,0.03130016501749471,9.244133197216081,0.025371815668577824
1938,9427.612721203073,129969,72.53739523427181,-0.00706448689642334,9.276522035019044,0.0323888378029622
1939,9820.131012799742,131028,74.94681299264083,0.03267647664701434,9.392594619107154,0.11607258408811028
1940,10214.785039756118,132122,77.31327893731641,0.031087023416247753,9.41352266933061,0.020928050223457006
1941,10822.86573915126,133402,81.12971124234464,0.04818352192213639,9.520135335997459,0.1066126666668481
1942,11194.908013704067,134860,83.01133037004351,0.022927861758736113,9.549908711139974,0.02977337514251488
1943,11772.484498838949,136739,86.09456335675227,0.03646915711827805,9.658837436371527,0.10892872523155361
1944,12280.17804496564,138397,88.73153352287723,0.030169067643054152,9.708526062782182,0.049688626410654635
1945,12975.420685325982,139928,92.72926566038235,0.04406879194120176,9.811723541603536,0.10319747882135388
1946,13759.801379909788,141389,97.31875449935842,0.04830759417593324,9.900422983027303,0.08869944142376696
1947,13764.121326951397,144126,95.50061284536723,-0.018859055145738407,9.854449051826231,-0.04597393120107185
1948,14032.445251225137,146631,95.69903534194773,0.002075553691589637,9.937808930794258,0.08335987896802699
1949,14323.317801967474,149188,96.00851142161216,0.0032286297928470083,9.920252280839236,-0.017556649955022152
1950,14897.510361751309,151684,98.21411857381997,0.022713130510624843,9.968275040439117,0.048022759599881226
1951,15543.990365289927,154287,100.74724614056872,0.025464888170720925,10.000760383445904,0.03248534300678685
1952,16201.482049861494,156954,103.22439727475243,0.024290365947801654,10.050335202601012,0.049574819155107974
1953,16813.08766558175,159565,105.368267888207,0.020556294290589163,10.09640158584224,0.04606638324122869
1954,17286.092948489077,162391,106.4473582186764,0.010189046822632336,10.122935163054256,0.026533577212015658
1955,18162.24939084449,165275,109.89108692085608,0.03183918247772236,10.204321024163864,0.08138586110960766
1956,18955.15013156898,168221,112.68004667413092,0.025062600826901742,10.23338956236637,0.029068538202505323
1957,19517.357352444877,171274,113.95399974569916,0.011242498732884874,10.26578489459317,0.03239533222680002
1958,20024.5660886492,174141,114.99053117100051,0.009054931370461192,10.301693126117582,0.035908231524413026
1959,20993.335646487805,177130,118.51936795849265,0.030226602577740368,10.369971145581603,0.0682780194640209
1960,21657.25277757159,180760,119.81219726472445,0.010849104153086998,10.368702453627597,-0.0012686919540065844
1961,22335.64758445403,183742,121.55983707837092,0.0144811337301179,10.422930677278531,0.05422822365093438
1962,23272.613473703434,186590,124.72594176377852,0.02571223664961906,10.474563157013364,0.05163247973483287
1963,24107.948850893452,189300,127.35313708871342,0.020844970279716945,10.506693971585506,0.03213081457214173
1964,25446.145103498904,191927,132.58241468630732,0.04024061497830552,10.599887316842143,0.09319334525663692
1965,26819.012147389614,194347,137.99550364754595,0.04001665266379812,10.664111239725969,0.06422392288382639
1966,28196.663509556176,196599,143.4222122673878,0.03857171107006487,10.748225697812707,0.0841144580867379
1967,29180.927448798953,198752,146.8207990299416,0.023419975477333658,10.800834923764771,0.05260922595206452
1968,30635.165907689203,200745,152.60736709601335,0.038655605944578494,10.902655669774887,0.10182074601011593
1969,31835.65632806023,202736,157.03010973907067,0.028569173883845465,10.946877264191263,0.044221594416375964
1970,32922.117103224235,205089,160.52600141023768,0.02201836326701741,11.006583865451727,0.0597066012604639
1971,33907.0660177703,207692,163.25648565072464,0.016866563697539232,11.050940390300916,0.04435652484918862
1972,35680.66312019709,209924,169.96943236693798,0.04029611557371837,11.144588406260125,0.09364801595920902
1973,37174.39987759526,211939,175.4014120930799,0.031458519331056395,11.185472235212126,0.04088382895200127
1974,37418.3694852049,213898,174.93557436350457,-0.002659370960688309,11.190065563495494,0.004593328283368336
1975,38521.644245431635,215981,178.3566343587243,0.019367350001394442,11.272219934710572,0.0821543712150774
1976,40223.61404085785,218086,184.43923058269604,0.033534926041590474,11.319264492802018,0.047044558091446476
1977,41680.02945892361,220289,189.2061313044392,0.025517026874683192,11.358104788047623,0.038840295245604395
1978,43482.571583001045,222629,195.3140497554274,0.03177171208266347,11.436586043771086,0.07848125572346376
1979,44756.99142760453,225106,198.826292624828,0.017822767494427894,11.467988733949605,0.03140269017851871
1980,45270.09959582247,227726,198.79196752159376,-0.00017265355623691337,11.483988248126584,0.01599951417697909
1981,45937.79615495879,230008,199.72260162672077,0.004670523332868785,11.515266619214035,0.03127837108745091
1982,46764.14883676303,232218,201.38037894031913,0.008266140285352962,11.527551020877592,0.012284401663556821
